subjectIx,blockIx,trialIx,trial,trial_alt,r,t_d,t_d_alt,RT_trial,RT_diff_trial
0,0,0,NS,NS,RB,NaN,NA,0.7325747058639536,0.01559463029843755
0,0,1,SR,SAS,RB,0.066,short,0.8230061180511257,0.10914229901391082
0,0,2,SL,SAS,RB,0.466,long,0.7731895315810107,0.015529171156231314
0,0,3,IG,IG,RB,0.166,short,0.933877598377876,0
0,0,4,NS,NS,RB,NaN,NA,0.7045688064972637,0.015593167539918795
0,0,5,NS,NS,RB,NaN,NA,0.7014271343068685,0.015587316418532282
0,0,6,NS,NS,RB,NaN,NA,0.7071352429338731,0.031235337955877185
0,0,7,IG,IG,RB,0.066,short,0.6582714706746629,0.031187432148726657
0,0,8,IG,IG,RB,0.366,intermediate,0.9983957918011583,0
0,0,9,NS,NS,RB,NaN,NA,0.6754305374488467,0.015559158026007935
0,0,10,NS,NS,RB,NaN,NA,0.8829317506460939,0
0,0,11,SB,SSS,RB,0.266,short,1.121580535385874,0.17158225670573302
0,0,12,NS,NS,RB,NaN,NA,0.5647166709823068,0
0,0,13,NS,NS,RB,NaN,NA,0.6160967796604382,0.015590607683407143
0,0,14,IG,IG,RB,0.166,short,0.7689855200151214,0.015598652913467959
0,0,15,NS,NS,RB,NaN,NA,0.6021071777940961,0.03114940001978539
0,0,16,NS,NS,RB,NaN,NA,0.6769141556578688,0.031185237981844693
0,0,17,SR,SAS,RR,0.266,short,1.0170110497856513,NaN
0,0,18,SR,SAS,RL,0.266,short,0.7955163949518465,NaN
0,0,19,NS,NS,RB,NaN,NA,0.6831942088174401,0.031161102204350755
0,0,20,NS,NS,RB,NaN,NA,0.6332236654125154,0.031224732869304717
0,0,21,SB,SSS,NR,0.366,intermediate,NaN,NaN
0,0,22,NS,NS,RB,NaN,NA,0.6191717128094751,0.0468182660988532
0,0,23,NS,NS,RB,NaN,NA,0.6706395879155025,0.03118962631560862
0,0,24,NS,NS,RB,NaN,NA,0.6831713529536501,0
0,0,25,NS,NS,RB,NaN,NA,0.6799936599563807,0.031207910971716046
0,0,26,NS,NS,RB,NaN,NA,0.9343151505454443,0.015605966793373227
0,0,27,IG,IG,RB,0.366,intermediate,1.0091764339158544,0.01563193104811944
0,0,28,SB,SSS,NR,0.266,short,NaN,NaN
0,0,29,NS,NS,RB,NaN,NA,0.6753222921834094,0.01555769526748918
0,0,30,NS,NS,RB,NaN,NA,0.7892001381551381,0
0,0,31,IG,IG,RB,0.266,short,1.004463559918804,0.031185237981844693
0,0,32,SB,SSS,RB,0.466,long,0.6269244133436587,0.031217784679029137
0,0,33,SB,SSS,NR,0.266,short,NaN,NaN
0,0,34,SR,SAS,RR,0.266,short,1.0106633433606476,NaN
0,0,35,NS,NS,RB,NaN,NA,0.8192656228784472,0
0,0,36,NS,NS,RB,NaN,NA,0.6846412576851435,0.015638147830031812
0,0,37,SR,SAS,RL,0.166,short,1.0792586527531967,NaN
0,0,38,SL,SAS,RR,0.166,short,0.6861199390259571,NaN
0,0,39,IG,IG,RB,0.166,short,0.7766638019238599,0
0,0,40,SL,SAS,RR,0.166,short,0.913998138246825,NaN
0,0,41,NS,NS,RB,NaN,NA,0.5052399270498427,0.031107345275813714
0,0,42,SL,SAS,NOC,0.366,intermediate,0.6268642568029463,0.031134040909819305
0,0,43,NS,NS,RB,NaN,NA,0.7251233366841916,0.04669978143647313
0,0,44,NS,NS,RB,NaN,NA,0.8468253762694076,0.015664112055674195
0,0,45,NS,NS,RB,NaN,NA,0.7657109182619024,0.015541239059530199
0,0,46,IG,IG,RB,0.466,long,0.6534055540105328,0.015559889434371144
0,0,47,SL,SAS,NR,0.366,intermediate,NaN,NaN
0,0,48,NS,NS,RR,NaN,NA,0.779680406965781,NaN
0,0,49,NS,NS,RB,NaN,NA,0.5415368277172092,0
0,0,50,SR,SAS,RL,0.266,short,1.084455521980999,NaN
0,0,51,SB,SSS,NR,0.066,short,NaN,NaN
0,0,52,SB,SSS,NR,0.366,intermediate,NaN,NaN
0,0,53,NS,NS,RB,NaN,NA,0.5768931648344733,0
0,0,54,NS,NS,RB,NaN,NA,0.5659843472385546,0.015513080667005852
0,0,55,NS,NS,RB,NaN,NA,0.7735038450628053,0
0,0,56,NS,NS,RB,NaN,NA,0.7157604880048893,0.01550028141355142
0,0,57,NS,NS,RB,NaN,NA,0.6189698500384111,0.01563558797352016
0,0,58,SR,SAS,RR,0.166,short,1.0292445918603335,NaN
0,0,59,SR,SAS,RB,0.066,short,0.8144946036336478,0.04676158359507099
0,0,60,NS,NS,RB,NaN,NA,0.6075194404547801,0.01559133906266652
0,0,61,SB,SSS,NR,0.266,short,NaN,NaN
0,0,62,IG,IG,RB,0.266,short,0.8685870604385855,0.015549284318694845
0,0,63,NS,NS,RB,NaN,NA,1.114996225311188,0.01552039454691112
0,0,64,NS,NS,RB,NaN,NA,0.6439203808695311,0.01568239674088545
0,0,65,NS,NS,RB,NaN,NA,0.562752165904385,0.015620228863554075
0,0,66,NS,NS,RB,NaN,NA,0.5831092216540128,0
0,0,67,NS,NS,RB,NaN,NA,0.5955885096918792,0
0,0,68,SL,SAS,RR,0.066,short,0.7171139193524141,NaN
0,0,69,NS,NS,RB,NaN,NA,0.5892550653079525,0
0,0,70,SR,SAS,RB,0.466,long,0.5939741560723633,0.015678374096751213
0,0,71,NS,NS,RB,NaN,NA,0.5752310882380698,0.015511983598116785
0,0,72,NS,NS,RB,NaN,NA,0.6812865690735634,0.01550028141355142
0,0,73,NS,NS,RB,NaN,NA,0.5845568190707127,0.015573054406559095
0,0,74,NS,NS,RB,NaN,NA,0.5657665767939761,0.015596824465319514
0,0,75,NS,NS,RB,NaN,NA,0.6485880917025497,0.03117609562468715
0,0,76,IG,IG,RB,0.166,short,0.7623176489723846,0.015626079926732928
0,0,77,SB,SSS,NR,0.166,short,NaN,NaN
0,0,78,NS,NS,RB,NaN,NA,0.5922716703498736,0.03125508542871103
0,0,79,NS,NS,RB,NaN,NA,0.5658605600037845,0.015515640523517504
0,0,80,NS,NS,RB,NaN,NA,0.5236979368783068,0
0,0,81,SL,SAS,RR,0.166,short,0.661002652021125,NaN
0,0,82,NS,NS,RB,NaN,NA,0.7046293287567096,0.03110478541930206
0,0,83,SB,SSS,RB,0.366,intermediate,0.5377495237771655,0.015592801821185276
0,0,84,NS,NS,RB,NaN,NA,0.6037946700816974,0
0,0,85,NS,NS,RB,NaN,NA,0.7019967017986346,0.015529171156231314
0,0,86,NS,NS,RB,NaN,NA,0.7778972858650377,0.01557122592930682
0,0,87,SL,SAS,NOC,0.166,short,1.0478326056618243,NaN
0,0,88,NS,NS,RB,NaN,NA,0.4674363695230568,0.031163662060862407
0,0,89,NS,NS,RB,NaN,NA,0.7451903975452296,0
0,0,90,IG,IG,RB,0.366,intermediate,1.0150587954267394,0.015633028117008507
0,0,91,NS,NS,RB,NaN,NA,0.6374935018247925,0.015589144895784557
0,0,92,NS,NS,RB,NaN,NA,0.6890432922518812,0
0,0,93,NS,NS,RB,NaN,NA,0.6468567162082763,0.015640341996913776
0,0,94,NS,NS,RB,NaN,NA,0.5891230499837548,0
0,0,95,SR,SAS,RL,0.166,short,0.8356000509811565,NaN
0,0,96,NS,NS,RB,NaN,NA,0.6218721758777974,0.015617669007042423
0,0,97,SL,SAS,RR,0.066,short,0.6733587013441138,NaN
0,0,98,NS,NS,RB,NaN,NA,0.5844529621390393,0.015663746366044506
0,0,99,NS,NS,RB,NaN,NA,0.5033342986134812,0.015546358772553504
0,1,100,NS,NS,RB,NaN,NA,0.8090421147207962,0.015567203314276412
0,1,101,NS,NS,RB,NaN,NA,0.5407282795349602,0.01563851349055767
0,1,102,NS,NS,RB,NaN,NA,0.545384653902147,0
0,1,103,NS,NS,RB,NaN,NA,0.44869641010882333,0
0,1,104,NS,NS,RB,NaN,NA,0.453325723123271,0.015565374807920307
0,1,105,NS,NS,RBO,NaN,NA,0.43463659507688135,0.015525148541200906
0,1,106,NS,NS,RB,NaN,NA,0.6031049722951138,0.015627542714355513
0,1,107,SB,SSS,RB,0.266,short,0.42839493975043297,0.015590973373036832
0,1,108,NS,NS,RB,NaN,NA,0.5110507955250796,0
0,1,109,NS,NS,RB,NaN,NA,0.5234979025553912,0.09358752926345915
0,1,110,NS,NS,RB,NaN,NA,0.46580135423573665,0.015644364582840353
0,1,111,NS,NS,RB,NaN,NA,0.423626663221512,0
0,1,112,SB,SSS,RB,0.366,intermediate,0.4049218103464227,0
0,1,113,NS,NS,RB,NaN,NA,0.542258157976903,0.03115232556592673
0,1,114,SB,SSS,RB,0.466,long,0.5546933799632825,0
0,1,115,NS,NS,RB,NaN,NA,0.6685931675310712,0.015633028117008507
0,1,116,SL,SAS,RB,0.466,long,0.5406235083792126,0.015570128831313923
0,1,117,SR,SAS,RB,0.466,long,0.5609774557233322,0
0,1,118,NS,NS,RB,NaN,NA,0.6425270889158128,0.015531731041846797
0,1,119,NS,NS,RB,NaN,NA,0.615983963245526,0
