subjectIx,blockId,block_type,attempt,criterion,performance,failed
0,p000,NS,1,IG_accuracy,NaN,NA
0,p000,NS,1,NS_accuracy,88,FALSE
0,p000,NS,1,NS_mean_RT,486,FALSE
0,p000,NS,1,NS_mean_RTdiff,10,FALSE
0,p000,NS,1,SB_accuracy,NaN,NA
0,p000,NS,1,SL_accuracy,NaN,NA
0,p000,NS,1,SR_accuracy,NaN,NA
0,p001,AS,1,IG_accuracy,NaN,NA
0,p001,AS,1,NS_accuracy,67,TRUE
0,p001,AS,1,NS_mean_RT,676,TRUE
0,p001,AS,1,NS_mean_RTdiff,18,FALSE
0,p001,AS,1,SB_accuracy,NaN,NA
0,p001,AS,1,SL_accuracy,30,FALSE
0,p001,AS,1,SR_accuracy,35,FALSE
0,p001,AS,2,IG_accuracy,NaN,NA
0,p001,AS,2,NS_accuracy,97,FALSE
0,p001,AS,2,NS_mean_RT,629,FALSE
0,p001,AS,2,NS_mean_RTdiff,18,FALSE
0,p001,AS,2,SB_accuracy,NaN,NA
0,p001,AS,2,SL_accuracy,60,FALSE
0,p001,AS,2,SR_accuracy,50,FALSE
0,p002,SS,1,IG_accuracy,95,FALSE
0,p002,SS,1,NS_accuracy,97,FALSE
0,p002,SS,1,NS_mean_RT,608,FALSE
0,p002,SS,1,NS_mean_RTdiff,10,FALSE
0,p002,SS,1,SB_accuracy,50,FALSE
0,p002,SS,1,SL_accuracy,NaN,NA
0,p002,SS,1,SR_accuracy,NaN,NA
0,p003,mixed,1,IG_accuracy,90,FALSE
0,p003,mixed,1,NS_accuracy,100,FALSE
0,p003,mixed,1,NS_mean_RT,625,FALSE
0,p003,mixed,1,NS_mean_RTdiff,6,FALSE
0,p003,mixed,1,SB_accuracy,70,FALSE
0,p003,mixed,1,SL_accuracy,70,FALSE
0,p003,mixed,1,SR_accuracy,70,FALSE
1,p000,NS,1,IG_accuracy,NaN,NA
1,p000,NS,1,NS_accuracy,92,FALSE
1,p000,NS,1,NS_mean_RT,519,FALSE
1,p000,NS,1,NS_mean_RTdiff,9,FALSE
1,p000,NS,1,SB_accuracy,NaN,NA
1,p000,NS,1,SL_accuracy,NaN,NA
1,p000,NS,1,SR_accuracy,NaN,NA
