subjectIx,blockIx,trialIx,trial,trial_alt,r,t_d,t_d_alt,r_bi,trialCorrect
0,0,0,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,1,SR,SAS,RB,0.066,short,TRUE,FALSE
0,0,2,SL,SAS,RB,0.466,long,TRUE,FALSE
0,0,3,IG,NA,RB,0.166,short,TRUE,TRUE
0,0,4,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,5,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,6,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,7,IG,NA,RB,0.066,short,TRUE,TRUE
0,0,8,IG,NA,RB,0.366,intermediate,TRUE,TRUE
0,0,9,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,10,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,11,SB,SSS,RB,0.266,short,TRUE,FALSE
0,0,12,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,13,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,14,IG,NA,RB,0.166,short,TRUE,TRUE
0,0,15,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,16,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,17,SR,SAS,RR,0.266,short,FALSE,FALSE
0,0,18,SR,SAS,RL,0.266,short,FALSE,TRUE
0,0,19,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,20,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,21,SB,SSS,NR,0.366,intermediate,FALSE,TRUE
0,0,22,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,23,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,24,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,25,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,26,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,27,IG,NA,RB,0.366,intermediate,TRUE,TRUE
0,0,28,SB,SSS,NR,0.266,short,FALSE,TRUE
0,0,29,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,30,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,31,IG,NA,RB,0.266,short,TRUE,TRUE
0,0,32,SB,SSS,RB,0.466,long,TRUE,FALSE
0,0,33,SB,SSS,NR,0.266,short,FALSE,TRUE
0,0,34,SR,SAS,RR,0.266,short,FALSE,FALSE
0,0,35,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,36,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,37,SR,SAS,RL,0.166,short,FALSE,TRUE
0,0,38,SL,SAS,RR,0.166,short,FALSE,TRUE
0,0,39,IG,NA,RB,0.166,short,TRUE,TRUE
0,0,40,SL,SAS,RR,0.166,short,FALSE,TRUE
0,0,41,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,42,SL,SAS,NOC,0.366,intermediate,FALSE,FALSE
0,0,43,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,44,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,45,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,46,IG,NA,RB,0.466,long,TRUE,TRUE
0,0,47,SL,SAS,NR,0.366,intermediate,FALSE,FALSE
0,0,48,NS,NS,RR,NA,NA,FALSE,FALSE
0,0,49,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,50,SR,SAS,RL,0.266,short,FALSE,TRUE
0,0,51,SB,SSS,NR,0.066,short,FALSE,TRUE
0,0,52,SB,SSS,NR,0.366,intermediate,FALSE,TRUE
0,0,53,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,54,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,55,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,56,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,57,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,58,SR,SAS,RR,0.166,short,FALSE,FALSE
0,0,59,SR,SAS,RB,0.066,short,TRUE,FALSE
0,0,60,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,61,SB,SSS,NR,0.266,short,FALSE,TRUE
0,0,62,IG,NA,RB,0.266,short,TRUE,TRUE
0,0,63,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,64,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,65,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,66,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,67,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,68,SL,SAS,RR,0.066,short,FALSE,TRUE
0,0,69,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,70,SR,SAS,RB,0.466,long,TRUE,FALSE
0,0,71,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,72,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,73,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,74,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,75,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,76,IG,NA,RB,0.166,short,TRUE,TRUE
0,0,77,SB,SSS,NR,0.166,short,FALSE,TRUE
0,0,78,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,79,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,80,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,81,SL,SAS,RR,0.166,short,FALSE,TRUE
0,0,82,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,83,SB,SSS,RB,0.366,intermediate,TRUE,FALSE
0,0,84,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,85,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,86,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,87,SL,SAS,NOC,0.166,short,FALSE,FALSE
0,0,88,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,89,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,90,IG,NA,RB,0.366,intermediate,TRUE,TRUE
0,0,91,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,92,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,93,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,94,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,95,SR,SAS,RL,0.166,short,FALSE,TRUE
0,0,96,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,97,SL,SAS,RR,0.066,short,FALSE,TRUE
0,0,98,NS,NS,RB,NA,NA,TRUE,TRUE
0,0,99,NS,NS,RB,NA,NA,TRUE,TRUE
0,1,100,NS,NS,RB,NA,NA,TRUE,TRUE
0,1,101,NS,NS,RB,NA,NA,TRUE,TRUE
0,1,102,NS,NS,RB,NA,NA,TRUE,TRUE
