subjectIx,model,B,logB,label,mean_beta0,mean_beta
0,B01,2.3814469060310713e-10,-22.158142683269453,extreme evidence for H1,-1.068042352080478,3.536196711990968
1,B01,7.360782161115647e-13,-27.937440009937553,extreme evidence for H1,-2.119606129575423,5.097808842628154
2,B01,5.336235378592307e-13,-28.25908578985181,extreme evidence for H1,-1.766198335328795,4.772297151314787
3,B01,8.614242281054844e-16,-34.68794457523988,extreme evidence for H1,-0.7545430992843273,4.865811202448064
5,B01,2.748270202235201e-17,-38.13297488450374,extreme evidence for H1,-1.1247362533197824,5.587147028315641
6,B01,3.7574936655474444e-19,-42.42536461005901,extreme evidence for H1,-0.948351943795189,6.17482810056067
8,B01,3.792359476526738e-12,-26.298032737366768,extreme evidence for H1,-0.7378045342229859,3.8154778178459376
10,B01,1.572871414874916e-14,-31.783288426334444,extreme evidence for H1,-0.7641728081614808,4.465425521651575
11,B01,3.7356305478346066e-19,-42.431200141176085,extreme evidence for H1,-0.9579002573000056,6.21797045975815
12,B01,1.8988113611335655e-19,-43.10788867588682,extreme evidence for H1,-1.79852153849764,7.128208382500632
13,B01,9.641960743606081e-17,-36.87782209631898,extreme evidence for H1,-2.2479105181614596,6.498194892680447
14,B01,3.7085817905169965e-17,-37.833297044068985,extreme evidence for H1,-0.16800862385827053,5.135419193195345
15,B01,6.532711981063856e-15,-32.66195422680429,extreme evidence for H1,-0.6440830473801951,4.558427593261267
16,B01,3.9562120816170024e-8,-17.04539372151335,extreme evidence for H1,-0.1554509609270628,2.667753760325681
17,B01,9.812958871101794e-17,-36.86024273494971,extreme evidence for H1,-0.4783327911811437,5.039591694991221
18,B01,2.9404868952693603e-18,-40.36795649561832,extreme evidence for H1,-0.44394593913532904,5.591393504782328
19,B01,3.7118270111766965e-18,-40.13500746264729,extreme evidence for H1,-0.37331752141800756,5.512756171349787
20,B01,2.427202423079699e-12,-26.74428178801447,extreme evidence for H1,-1.302287142805861,4.212258851024351
21,B01,1.8506726780396554e-17,-38.52839739814738,extreme evidence for H1,1.5136976537188296,5.999829501767468
22,B01,1.0546202904294784e-19,-43.695935979028384,extreme evidence for H1,-0.11892940001372652,6.134771627202558
23,B01,5.065411503566033e-13,-28.311170829987844,extreme evidence for H1,0.0028811878446428833,3.878204432176903
24,B01,5.302864871526553e-13,-28.265358992607148,extreme evidence for H1,-1.7703966019648527,4.782176730410853
26,B01,8.23452284937037e-10,-20.917515509778205,extreme evidence for H1,-0.5379906916404422,3.140337245531498
27,B01,5.06858701576076e-11,-23.705373939290332,extreme evidence for H1,-1.3435415027577768,3.8707309249875927
28,B01,1.6351324771854934e-8,-17.928956917084037,extreme evidence for H1,-0.03812371092379604,2.735803664415053
29,B01,2.1733031074466902e-9,-19.947017657389225,extreme evidence for H1,0.040472961181279285,2.96214014755445
30,B01,3.7049932185090405e-17,-37.834265152514334,extreme evidence for H1,0.16928527886715763,5.117644277875543
31,B01,5.057666666296221e-20,-44.430796616079164,extreme evidence for H1,-1.726397299106894,7.250798101574028
32,B01,3.49179406741311e-24,-54.011626568295355,extreme evidence for H1,0.07917466289259821,9.056588621486345
33,B01,8.312450559517109e-16,-34.72360702966771,extreme evidence for H1,-0.32436132868609163,4.69147047556647
34,B01,5.332196032030683e-13,-28.259843042084903,extreme evidence for H1,-1.781142815180746,4.784370903894536
35,B01,2.76556151137771e-15,-33.52153270229803,extreme evidence for H1,-1.388061573919144,5.150484744483531
