subjectIx,model,B,logB,error,label
0,B01,0.8397384898699662,-0.17466475719877564,3.3736398842676936e-7,anecdotal evidence for H1
1,B01,0.20537833626146057,-1.5829014580264698,2.300706149692386e-5,moderate evidence for H1
2,B01,0.021226455379576487,-3.8525069800152694,3.7843529566711756e-7,very strong evidence for H1
3,B01,3.9511583784148296,1.3740087962788015,5.099442613317978e-8,moderate evidence for H0
5,B01,0.46265663493589954,-0.7707701092337667,4.990349907558848e-7,anecdotal evidence for H1
6,B01,0.4520190021255088,-0.794031059932883,2.848545957040273e-7,anecdotal evidence for H1
8,B01,0.005941357468341693,-5.125817641692738,5.952348462451286e-8,extreme evidence for H1
10,B01,0.5078077352726904,-0.6776523769156243,2.548377038778119e-7,anecdotal evidence for H1
11,B01,0.8811257753552417,-0.12655489892793215,2.1249847323533807e-7,anecdotal evidence for H1
12,B01,0.8855804635255591,-0.1215119579873632,1.3177363576923175e-7,anecdotal evidence for H1
13,B01,0.039181881314674774,-3.2395408503986554,8.484973973907e-8,strong evidence for H1
14,B01,2.7897594506199246,1.0259553737004554,2.1367261711806075e-7,anecdotal evidence for H0
15,B01,0.04866119586956822,-3.022873365899806,1.531582944195935e-6,strong evidence for H1
16,B01,2.451628532206447,0.8967525107598101,2.2662574526070783e-7,anecdotal evidence for H0
17,B01,0.11830649993924533,-2.1344765649658113,6.237795569104772e-7,moderate evidence for H1
18,B01,3.876173430401806,1.3548484377132146,4.5443594769718774e-8,moderate evidence for H0
19,B01,0.04008417142247921,-3.216773750214039,2.2938610736466113e-7,strong evidence for H1
20,B01,1.142890883541601,0.13356091528762534,1.7213220715158169e-7,anecdotal evidence for H0
21,B01,3.6717887644135017,1.300678945072377,3.3944666747103144e-7,moderate evidence for H0
22,B01,4.865757602217339e-4,-7.628117943443116,5.902857202297942e-8,extreme evidence for H1
23,B01,0.06208684618526514,-2.7792211291414186,6.57199485058439e-7,strong evidence for H1
24,B01,0.14220668341945655,-1.9504737625806432,1.2927425942239758e-7,moderate evidence for H1
26,B01,12.137145679418007,2.4962706409703745,6.173102231369288e-5,strong evidence for H0
27,B01,0.012104923073196357,-4.414143043573369,3.1367885139617896e-7,very strong evidence for H1
28,B01,0.39242943981779566,-0.9353985290852985,3.159326802594778e-7,anecdotal evidence for H1
29,B01,0.039905700318814234,-3.2212361001573817,5.856845657448668e-7,strong evidence for H1
30,B01,0.7829639800987123,-0.24466858647768722,4.200050983341137e-7,anecdotal evidence for H1
31,B01,0.19039316436864115,-1.6586640586945478,1.3459835409158467e-6,moderate evidence for H1
32,B01,1.2652378209723407,0.23526010527820246,9.260572065312156e-9,anecdotal evidence for H0
33,B01,0.9034659478986488,-0.1015168587595538,4.61067551664184e-7,anecdotal evidence for H1
34,B01,0.21525937661830458,-1.535911575097848,1.2913300304089784e-5,moderate evidence for H1
35,B01,0.22390794951735357,-1.4965202512406077,1.988558284091352e-6,moderate evidence for H1
