subjectIx,B_null_vs_full,B_null_vs_order_restricted,B_rank_null_vs_full,B_rank_null_vs_order_restricted
0,2.590188382902304,28.12365236593164,17,25
1,0.01820747336160068,43.35112705143019,3,28
2,0.0033053352511573627,11.017784170524543,2,15
3,1.3146272707739086,7.274387288478909,14,13
5,0.8808219935046822,0.2522529779612586,12,2
6,5.537567016248138,4.524156059026257,24,10
8,4.290501367712045,1.7276722910977063,22,6
10,0.7318274594247232,1.043381037103968,10,5
11,5.188413496586866,24.629324487737897,23,23
12,2.8238678447349175,24.210115266931737,18,22
13,0.20530220291934864,26.732057671790184,5,24
14,2.3034215234426494,0.6055357138763096,16,3
15,4.232935108566962,14.522214589566907,21,16
16,11.010621212144374,16.25711849182668,30,18
17,7.002745264463136,2.940377927452841,26,8
18,2.2756721721441515,2.5097849083996726,15,7
19,5.719793357605266,3.1075362419213453,25,9
20,2.8604833965385064,17.983675320875808,19,19
21,12.860471756401786,15.033047828589543,32,17
22,0.3832685876488378,55.06732581161463,7,32
23,2.86446676510393,34.14957993686135,20,26
24,0.7022202637424614,21.396107975090228,9,21
26,0.46405885130049257,43.45120330528957,8,29
27,0.0026461528684206957,44.10254780701159,1,30
28,10.048563413136334,6.818780053157671,28,12
29,11.455604118663947,19.568180312705316,31,20
30,10.432570263557631,5.653222715456444,29,11
31,0.2358366858148863,0.050817234191551236,6,1
32,7.018069311726411,35.03079420847764,27,27
33,0.7747490016529149,9.289556374735191,11,14
34,0.8988276114064104,0.6321402730233286,13,4
35,0.04664821731043993,51.83135256715547,4,31
