Column name,Description,Type,Values or characteristics
studyId,"Study identity, as specified in experiment config file under code",character,Corresponds to Donders Center for Cognitive Neuroimaging Project Propal Meeting identifier
taskVersionId,"Task verion identity, as specified in config file under version",character,"Possible values: A, B (versions differ in character-to-key mapping and stimulus-to-signal mapping for counterbalancing purposes)"
sessionId,"Session identity, as specified by experimenter at beginning of the task",character,"Common values: practice, experiment, rehearsal"
experimenterId,"Experimenter identity, specified by experimenter at beginning of the task",character,"Common values: RB (Ruben van den Bosch), BBZ (Bram Zandbelt)"
responseDevice,Device with which participant performs the task,character,"Possible values: Serial (serial response device), Keyboad"
refreshRate,Refresh rate of the computer screen,double,Hertz
rngSeed,Seed of the random number generator,integer,N/A
subjectIx,"Subject index, specified by experimenter at beginning of the task",integer,Zero-based numbering
groupIx,"Group index, specified by experimenter at beginning of the task",integer,There is only one group: 0
sessionIx,"Session index, specified by experimenter at beginning of the task",integer,N/A
sessDate,Session date,date,Format: YYYY-MM-DD
sessTime,Session time,time,"Format: HHMM, Greenwich Mean Time"
blockId,Block identity,character,"Consist of a character (p for practice, e for experiment) and block index (padded)"
blockIx,Block index,integer,Zero-based numbering
trialIx,Trial index,integer,"Zero-based numbering, resetted by new stages, not new blocks"
fixIx,Fixation index,integer,Possible values: see stimConfig in experiment configuration file (expt_3017031-05-Expt02-A.yaml or expt_3017031-05-Expt02-B.yaml)
s1Ix,Primary (go) stimulus index,integer,Possible values: see stimConfig in experiment configuration file (expt_3017031-05-Expt02-A.yaml or expt_3017031-05-Expt02-B.yaml)
s2Ix,Secondary (signal) stimulus index,integer,Possible values: see stimConfig in experiment configuration file (expt_3017031-05-Expt02-A.yaml or expt_3017031-05-Expt02-B.yaml)
soaIx,Stimulus onset asynchrony (i.e. signal-delay) index,integer,"Possible values: 0 (66 ms), 1 (166 ms), 2 (266 ms), 3 (366 ms), 4 (466 ms)"
tSession,"Session time, i.e. time since task was launched",time,Format: H:MM:SS
tBlock,"Block time, i.e. time since onset of current block",time,Format: H:MM:SS.ms
